,name,population,latitude,longitude
349,solnechnaya dolina,1526,44.87185,35.10622
350,sokyryany,9877,48.44747,27.41678
351,sofiyivka,8017,48.04865,33.87618
352,sniatyn,10089,48.44692,25.56937
353,solnechnogorskoye,1150,44.74722,34.53999
354,sokolinoye,1251,44.55041,33.95897
355,ilyinka,1140,45.81784,33.79482
356,sobolivka,3605,49.33604,28.65096
357,solonka,3391,49.75621,24.01028
358,snihurivka,14873,47.07579,32.80516
359,sofyevka,3481,45.08985,33.99887
360,snizhne,55587,48.02612,38.77225
361,slatyne,6544,50.21041,36.15376
362,skvyra,17452,49.73177,29.66569
363,slavuta,33080,50.30155,26.86506
364,slobidka,2530,47.88694,29.34611
365,sloviansk,124800,48.86667,37.61667
366,slov`yanoserbsk,8065,48.69779,38.98133
367,slavyanskoye,1194,45.72768,33.32165
368,slavske,6436,48.84734,23.44587
369,smila,67530,49.22242,31.88714
370,sloboda,2949,51.19806,33.60695
371,slavnoye,914,45.72176,33.23689
372,skelivka,1062,49.53728,22.96467
373,skole,6491,49.03717,23.51346
374,skala-podil’s’ka,4255,48.85149,26.19909
375,skhidnytsya,2257,49.22827,23.35016
376,skalistoye,2997,44.81686,33.97791
377,skvortsovo,2517,45.07542,33.82084
378,skalat,3886,49.42732,25.97869
379,skadovs’k,19404,46.1161,32.91124
380,sizovka,1814,45.34892,33.87669
381,simeiz,2604,44.40646,34.00704
382,shpola,18689,49.00687,31.39471
383,synevyr,4623,48.48745,23.62575
384,shostka,85432,51.86296,33.4698
385,shyshaky,5671,49.88175,34.01118
386,synel’nykove,31900,48.32044,35.51792
387,shturmovoye,1535,44.56767,33.62245
388,synevyrska poliana,1355,48.58484,23.6891
389,sholokhove,3097,47.69453,34.03119
390,shumsk,0,50.12157,26.11424
391,simferopol,336460,44.95719,34.11079
392,partizany,1487,45.14373,35.15509
393,shyryayeve,7018,47.38052,30.19638
394,shypyntsi,2937,48.37677,25.74664
395,shklo,5164,49.95675,23.54408
396,shyroke,1001,47.95711,38.2316
397,pshenichnoye,868,45.64627,34.83767
398,shyroke,10920,47.69173,33.25715
399,shevchenkove,7090,49.69585,37.17348
400,shelkovichnoye,1357,45.18748,33.68807
401,shchyrets’,5733,49.65096,23.87426
402,shevchenkove,5362,45.55604,29.33357
403,shalyhyne,3031,51.57167,34.12167
404,serpneve,1768,46.30094,29.01958
405,shevchenkove,3031,46.86289,32.20387
406,shepetivka,46419,50.18545,27.06365
407,sheshory,1984,48.33197,24.98329
408,shcherbynivka,3868,48.39489,37.79102
409,shchebetovka,3442,44.93821,35.158
410,shchors,11857,51.81865,31.94504
411,shats’k,5708,51.50208,23.93806
412,shakhtars’k,71700,48.05657,38.43826
413,shabo,6886,46.13262,30.38595
414,serhiyivka,5045,46.0272,30.37682
415,sharhorod,6895,48.73835,28.08497
416,sivers’k,13900,48.86699,38.10007
417,seredyna-buda,7161,52.18903,34.03639
418,serebryanka,1111,48.91917,38.13494
419,sevastopol,416263,44.58883,33.5224
420,serebryanka,833,45.63937,33.49632
421,serebriya,2906,48.45593,27.71923
422,sedniv,1222,51.64473,31.56497
423,selydove,24269,48.14708,37.30032
424,semenivka,9320,52.17827,32.58183
425,savran,7000,48.13219,30.08247
