,objectId,location,cityId,name,population,createdAt,updatedAt
1186,pCL4ZZWJZK,"{'__type': 'GeoPoint', 'latitude': 49.57193, 'longitude': 22.78629}",709909,Dobromyl’,4537,2019-12-14T02:43:20.696Z,2019-12-14T02:43:20.696Z
1187,iF2omIF38U,"{'__type': 'GeoPoint', 'latitude': 48.38778, 'longitude': 31.18028}",709888,Dobrovelychkivka,0,2019-12-14T02:43:20.696Z,2019-12-14T02:43:20.696Z
1188,j7drhzUZ0q,"{'__type': 'GeoPoint', 'latitude': 48.46147, 'longitude': 37.08524}",709900,Dobropillya,35977,2019-12-14T02:43:20.696Z,2019-12-14T02:43:20.696Z
1189,dNNXjyq2U2,"{'__type': 'GeoPoint', 'latitude': 48.4593, 'longitude': 35.03865}",709930,Dnipro,1032822,2019-12-14T02:43:20.696Z,2019-12-14T02:43:20.696Z
1190,8GXCKGyOgM,"{'__type': 'GeoPoint', 'latitude': 48.51134, 'longitude': 34.6021}",709932,Kamianske,248575,2019-12-14T02:43:20.696Z,2019-12-14T02:43:20.696Z
1191,98OzcbmHCR,"{'__type': 'GeoPoint', 'latitude': 47.42945, 'longitude': 34.61805}",709954,Dniprovka,3873,2019-12-14T02:43:20.696Z,2019-12-14T02:43:20.696Z
1192,vlwv4H4GXz,"{'__type': 'GeoPoint', 'latitude': 48.7969, 'longitude': 32.71645}",709983,Dmytrivka,4070,2019-12-14T02:43:20.696Z,2019-12-14T02:43:20.696Z
1193,a0UbndNZeM,"{'__type': 'GeoPoint', 'latitude': 47.38169, 'longitude': 34.97652}",709960,Dniprorudne,20271,2019-12-14T02:43:20.696Z,2019-12-14T02:43:20.696Z
1194,YYQIBtVhMH,"{'__type': 'GeoPoint', 'latitude': 46.74631, 'longitude': 33.27288}",709940,Dnipryany,4537,2019-12-14T02:43:20.696Z,2019-12-14T02:43:20.696Z
1195,XOjkGpo7gw,"{'__type': 'GeoPoint', 'latitude': 48.60767, 'longitude': 32.98347}",710032,Oleksandriys’ke,5410,2019-12-14T02:43:20.696Z,2019-12-14T02:43:20.696Z
1196,mBC4EWH6XW,"{'__type': 'GeoPoint', 'latitude': 47.93611, 'longitude': 38.93661}",710007,Dmytrivka,3170,2019-12-14T02:43:20.696Z,2019-12-14T02:43:20.696Z
1197,xT8Og1Ygrk,"{'__type': 'GeoPoint', 'latitude': 45.97167, 'longitude': 28.98639}",710033,Dmytrivka,4536,2019-12-14T02:43:20.696Z,2019-12-14T02:43:20.696Z
1198,OjZuD7SeBl,"{'__type': 'GeoPoint', 'latitude': 48.30523, 'longitude': 37.26091}",710035,Myrnohrad,49646,2019-12-14T02:43:20.696Z,2019-12-14T02:43:20.696Z
1199,k04XFDDc5C,"{'__type': 'GeoPoint', 'latitude': 45.48411, 'longitude': 35.0588}",709995,Dmitrovka,947,2019-12-14T02:43:20.696Z,2019-12-14T02:43:20.696Z
1200,ZOgohghmIs,"{'__type': 'GeoPoint', 'latitude': 50.92731, 'longitude': 30.76048}",710071,Desna,6906,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1201,qm7guajVXd,"{'__type': 'GeoPoint', 'latitude': 49.2692, 'longitude': 27.43382}",710129,Derazhnya,10058,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1202,94l1af2YA0,"{'__type': 'GeoPoint', 'latitude': 49.82501, 'longitude': 34.52787}",710041,Dykan’ka,8000,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1203,9eBxDae8Z9,"{'__type': 'GeoPoint', 'latitude': 49.00449, 'longitude': 29.42559}",710260,Dashiv,4233,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1204,2bEjBP78XB,"{'__type': 'GeoPoint', 'latitude': 50.58264, 'longitude': 32.77012}",710214,Dihtyari,1289,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1205,pwBLgkqSjD,"{'__type': 'GeoPoint', 'latitude': 48.52354, 'longitude': 24.62466}",710202,Delyatyn,7980,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1206,vbza38qHvx,"{'__type': 'GeoPoint', 'latitude': 48.12099, 'longitude': 25.56461}",710243,Davydivka,2981,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1207,pSJJRjmAeG,"{'__type': 'GeoPoint', 'latitude': 50.10659, 'longitude': 36.12112}",710098,Derhachi,19322,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1208,ch3MtonksV,"{'__type': 'GeoPoint', 'latitude': 45.66006, 'longitude': 33.08059}",710323,Dalekoye,782,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1209,9qTqczGsrh,"{'__type': 'GeoPoint', 'latitude': 50.42814, 'longitude': 25.33619}",710183,Demydivka,0,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1210,F1CfFEaaOJ,"{'__type': 'GeoPoint', 'latitude': 46.35763, 'longitude': 32.3514}",710368,Chulakivka,2938,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1211,fH7vcsvLns,"{'__type': 'GeoPoint', 'latitude': 44.88448, 'longitude': 34.98333}",710334,Dachnoye,2628,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1212,dJE9ljtIEw,"{'__type': 'GeoPoint', 'latitude': 48.34072, 'longitude': 38.4049}",710229,Debal’tseve,30200,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1213,LV7K7HHBtD,"{'__type': 'GeoPoint', 'latitude': 49.83588, 'longitude': 36.68803}",710374,Chuhuyiv,36519,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1214,olFjyrce9J,"{'__type': 'GeoPoint', 'latitude': 49.01709, 'longitude': 25.79804}",710400,Chortkiv,28855,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1215,Fz1A2I0F0M,"{'__type': 'GeoPoint', 'latitude': 45.13999, 'longitude': 34.09452}",710418,Krasnoye,1034,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1216,CKOnxyGAjN,"{'__type': 'GeoPoint', 'latitude': 50.83325, 'longitude': 28.95334}",710408,Chopovychi,2183,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1217,0h682dDkZJ,"{'__type': 'GeoPoint', 'latitude': 50.05204, 'longitude': 28.11745}",710381,Chudniv,6314,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1218,wusVBVFRyy,"{'__type': 'GeoPoint', 'latitude': 49.71043, 'longitude': 35.16571}",710342,Chutove,6274,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1219,xlKUQXWgAR,"{'__type': 'GeoPoint', 'latitude': 48.43198, 'longitude': 22.20555}",710409,Chop,8587,2019-12-14T02:43:22.307Z,2019-12-14T02:43:22.307Z
1220,JmwoPc9sxg,"{'__type': 'GeoPoint', 'latitude': 48.48179, 'longitude': 22.8217}",710463,Chynadiyovo,6564,2019-12-14T02:43:24.100Z,2019-12-14T02:43:24.100Z
1221,jWF23QrP2u,"{'__type': 'GeoPoint', 'latitude': 45.60474, 'longitude': 34.83395}",710430,Chkalovo,1098,2019-12-14T02:43:24.099Z,2019-12-14T02:43:24.099Z
1222,jDDqS1BxxD,"{'__type': 'GeoPoint', 'latitude': 45.36541, 'longitude': 36.18312}",710449,Chistopolye,1706,2019-12-14T02:43:24.100Z,2019-12-14T02:43:24.100Z
1223,EoHN1iyqwU,"{'__type': 'GeoPoint', 'latitude': 49.17906, 'longitude': 37.42593}",710514,Chervonyy Oskil,3217,2019-12-14T02:43:24.100Z,2019-12-14T02:43:24.100Z
1224,5LPzGIfoIH,"{'__type': 'GeoPoint', 'latitude': 49.08376, 'longitude': 32.65549}",710473,Chyhyryn,11515,2019-12-14T02:43:24.100Z,2019-12-14T02:43:24.100Z
1225,8um60CNksm,"{'__type': 'GeoPoint', 'latitude': 51.77006, 'longitude': 34.06729}",710534,Chervone,1800,2019-12-14T02:43:24.100Z,2019-12-14T02:43:24.100Z
1226,fFmARcDLgI,"{'__type': 'GeoPoint', 'latitude': 50.46784, 'longitude': 28.2713}",710556,Pulyny,0,2019-12-14T02:43:24.100Z,2019-12-14T02:43:24.100Z
1227,FZk2J7Fa6v,"{'__type': 'GeoPoint', 'latitude': 46.65222, 'longitude': 33.35904}",710653,Chornyanka,3363,2019-12-14T02:43:24.101Z,2019-12-14T02:43:24.101Z
1228,ABRI0YI3Jo,"{'__type': 'GeoPoint', 'latitude': 44.88152, 'longitude': 34.04716}",710454,Chisten’koye,5126,2019-12-14T02:43:24.100Z,2019-12-14T02:43:24.100Z
1229,avErplJFO1,"{'__type': 'GeoPoint', 'latitude': 47.62298, 'longitude': 34.53887}",710552,Chervonohryhorivka,6444,2019-12-14T02:43:24.100Z,2019-12-14T02:43:24.100Z
1230,dsLk8cFPNU,"{'__type': 'GeoPoint', 'latitude': 49.3789, 'longitude': 32.14643}",710587,Chervona Sloboda,9333,2019-12-14T02:43:24.100Z,2019-12-14T02:43:24.100Z
1231,AxTEwoADLr,"{'__type': 'GeoPoint', 'latitude': 47.62315, 'longitude': 34.14198}",710615,Chortomlyk,1275,2019-12-14T02:43:24.100Z,2019-12-14T02:43:24.100Z
1232,CYXAKRSU9B,"{'__type': 'GeoPoint', 'latitude': 50.39105, 'longitude': 24.23514}",710554,Chervonohrad,83000,2019-12-14T02:43:24.100Z,2019-12-14T02:43:24.100Z
